ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
1,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
2,99.98804823137618,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
3,99.99468834964992,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
4,100.00177113129644,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
5,100.00509126941157,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
6,100.00155011623156,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
6,100.0030995986583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
7,100.01272769746706,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
8,100.01560517212462,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
9,100.00575605784732,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
10,100.0003335829595,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
11,100.00453904896196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
12,100.00077656392676,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
13,99.99845273650988,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
14,100.00487152236376,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
15,100.00453968301716,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
16,100.00232652180138,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
17,99.99778937475465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
18,100.00420816044698,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
19,100.00454031700964,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
20,100.01228709458084,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
21,100.01461123871458,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
22,100.00786077206465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
23,100.00166363528784,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
24,100.00177445981844,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
25,100.00210661612476,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
26,99.9965734754539,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
27,99.99579897200816,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
28,99.99402847480042,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
30,99.99104065166377,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
30,99.98528617869464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
31,99.9803063679886,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9871.121137375143
